Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
S19_BFR2,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,10,1,0.5,0.049,27.6,1,3,2,2,4,14,35,22,20,9,0
S19_BFR4,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,10,1,0.5,0.049,27.6,1,3,2,2,4,14,35,22,20,9,0
S19_BFP1,Beasley Flats,Pool,Pool Spring,Pool Spring,11,1,0.01,0.0001,40.25,81,14,1,0,0,0,2,5,0,0,0
S19_BFP3,Beasley Flats,Pool,Pool Spring,Pool Spring,11,1,0.01,0.0001,40.25,81,14,1,0,0,0,2,5,0,0,0
S19_BFP5,Beasley Flats,Pool,Pool Spring,Pool Spring,11,1,0.01,0.0001,40.25,81,14,1,0,0,0,2,5,0,0,0
S19_BFN1,Beasley Flats,Run,Run Spring,Run Spring,12,1,0.5,0.0057,72.1,1,0,2,1,2,20,40,32,6,0,0
S19_BFN2,Beasley Flats,Run,Run Spring,Run Spring,12,1,0.5,0.0057,72.1,1,0,2,1,2,20,40,32,6,0,0
S19_BFN3,Beasley Flats,Run,Run Spring,Run Spring,12,1,0.5,0.0057,72.1,1,0,2,1,2,20,40,32,6,0,0
S19_CHR2,Childs,Riffle,Riffle Spring,Riffle Spring,10,1,0.63,0.07744,33.15,0,0,0,0,3,6,11,30,33,15,5
S19_CHR3,Childs,Riffle,Riffle Spring,Riffle Spring,10,1,0.63,0.07744,33.15,0,0,0,0,3,6,11,30,33,15,5
S19_CHR4,Childs,Riffle,Riffle Spring,Riffle Spring,10,1,0.63,0.07744,33.15,0,0,0,0,3,6,11,30,33,15,5
S19_CHP1,Childs,Pool,Pool Spring,Pool Spring,11,1,0.01,0.00009,46.05,16,6,6,11,18,13,20,9,2,0,0
S19_CHP2,Childs,Pool,Pool Spring,Pool Spring,11,1,0.01,0.00009,46.05,16,6,6,11,18,13,20,9,2,0,0
S19_CHP5,Childs,Pool,Pool Spring,Pool Spring,11,1,0.01,0.00009,46.05,16,6,6,11,18,13,20,9,2,0,0
S19_CHN1,Childs,Run,Run Spring,Run Spring,12,1,0.73,0.01114,65.9,2,0,3,4,11,49,17,8,5,3,0
